condition,condition_tier,target,representation,selector,reports,true_bugs,predicted_clusters,matrix_sha256,partition_sha256,evaluation_index,epsilon,relative_validity_hdbscan,persistence,single_cluster_correction,purity,inverse_purity,f_measure,adjusted_rand_index,pairwise_average_precision,pairwise_same_bug_pairs,pairwise_different_bug_pairs,num_overcount,num_undercount,num_completely_lost
L_f1_W0,primary_full_coverage,poppler__pdfimages,BD4,Smax,40,4,5,261f209d09e5ee8c4a35f09340b9b91d8e2ccca1c87c8b685b9ac262ef5b0f42,f681ff39812449fa2b3c2e9b19fa370e4cac6de89701b3bcece0147a78a97db9,195,0.027113392695409064,0.8597380694234198,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9300858902082415,180,600,1,0,0
L_f1_W0,primary_full_coverage,poppler__pdfimages,BLD4,S0,40,4,5,3845abc985927129c2d5fc4da62cced86adc9239d63e9e0997d2187107887661,31f25b9bcac986a6d207e9eeb6e5b54fe390ada7b2259b54e6d0ceef0825035e,3,0.19803794558747234,0.9334692059465243,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9098347937797823,180,600,1,0,0
L_f1_W0,primary_full_coverage,poppler__pdfimages,BLD4,Smax,40,4,5,3845abc985927129c2d5fc4da62cced86adc9239d63e9e0997d2187107887661,31f25b9bcac986a6d207e9eeb6e5b54fe390ada7b2259b54e6d0ceef0825035e,169,0.019375744425351553,0.9334692059465243,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9098347937797823,180,600,1,0,0
L_f1_W0,primary_full_coverage,soxmp3__sox,B,S0,61,7,7,620599d63526f00cc6a30b183740d3d751701bb0f01816490592dfbafe6aa725,cb2132ea9abb4b5413888e10af457fa4d27f31c07f2743ea80ade39965bfd51a,75,0.2000752821866999,0.7405588406916171,1.0,False,0.93443,0.88525,0.898,0.8411400066023549,0.9162334931413182,270,1560,2,3,3
L_f1_W0,primary_full_coverage,soxmp3__sox,B,Smax,61,7,9,620599d63526f00cc6a30b183740d3d751701bb0f01816490592dfbafe6aa725,fb2159528677920fde41e442a4f968117d16f21373bf6c29d549a0bf8dc6d392,155,0.060755610605931105,0.8209978909808091,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9162334931413182,270,1560,2,3,3
L_f1_W0,primary_full_coverage,soxmp3__sox,BL,S0,61,7,7,a41bdf34707f68c4b12fdc4218ff317659856ab85878d2013cca2d8ab53cbd89,979aa3fc8ccfb01df0aeee19118a8f36c346f494b88e2cd38d8c5568b1f70580,103,0.3719580695288886,0.691101144634785,1.0,False,0.86885,0.86885,0.82877,0.7077036490969406,0.9189046173860289,270,1560,2,2,3
L_f1_W0,primary_full_coverage,soxmp3__sox,BL,Smax,61,7,9,a41bdf34707f68c4b12fdc4218ff317659856ab85878d2013cca2d8ab53cbd89,0e4ba693cd0a15c7b49d56b62f7d0df4ecbbf1ca5f1c79636a9610b4b0cafa27,183,0.03338063116744004,0.8230944154526558,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9189046173860289,270,1560,2,3,3
L_f1_W0,primary_full_coverage,soxmp3__sox,BD4,S0,61,7,7,1f0b371f99c149b47c8b51955a66137c8d49a59bb0ef28616202416307f44132,2bfc104a9e519a0d05704fc1711e12e68d794a32bb064550fe8f5136cdd34809,3,0.19681919528297653,0.7414504768546056,1.0,False,0.90164,0.91803,0.85747,0.8107204964708289,0.9292743552730823,270,1560,1,2,3
L_f1_W0,primary_full_coverage,soxmp3__sox,BD4,Smax,61,7,9,1f0b371f99c149b47c8b51955a66137c8d49a59bb0ef28616202416307f44132,ac4b6e2a4c8fc91ef065849d2897f5a8b4bd46d4f6d4bf655d267054b8ba51e9,187,0.032591252892062425,0.8673685768703653,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9292743552730823,270,1560,2,3,3
L_f1_W0,primary_full_coverage,soxmp3__sox,BLD4,S0,61,7,7,7cdfea569c408fe6ee2e7e4195ecd3cfbd76ad4bad4828bdec743f6c15955868,c1432127406d2eea59de1d82ae50b8f609e53e9efa42d973d8004b8bfa56eb4e,115,0.28858229488454046,0.7109915105310819,1.0,False,0.93443,0.91803,0.90951,0.8440908600021599,0.9355972498144111,270,1560,2,3,3
L_f1_W0,primary_full_coverage,soxmp3__sox,BLD4,Smax,61,7,9,7cdfea569c408fe6ee2e7e4195ecd3cfbd76ad4bad4828bdec743f6c15955868,3dce8ee5530a23e9b810637e44fde2674ccb782c078c5fa409204dd564b7349a,191,0.022750925551032808,0.8452389444391862,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9355972498144111,270,1560,2,3,3
L_f1_W5,primary_full_coverage,freetype__char2svg,B,S0,51,6,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,c95e48269e3ff53983538aaea302b9cc1fc2d9e027bd1b8fbdebdd97c54780aa,1,0.3543185777584654,0.5,1.0,True,0.19608,1.0,0.32219,0.0,0.9597579457352423,225,1050,0,1,6
L_f1_W5,primary_full_coverage,freetype__char2svg,B,Smax,51,6,6,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,185,0.06176236481932756,0.578090354741812,1.0,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W5,primary_full_coverage,freetype__char2svg,BL,S0,51,6,5,0ae51b0a708495866a9e795e8dbeba656e7d8ad706c43228649f41f7396a67ec,b280dbc72896df45d9dfb7b732c9e8346fb80e40c1d53aed9f1d5bd3f14dd1b3,3,0.24285263139015076,0.6987848448828851,1.0,False,0.98039,1.0,0.97432,0.9734789391575663,1.0,225,1050,0,1,2
L_f1_W5,primary_full_coverage,freetype__char2svg,BL,Smax,51,6,5,0ae51b0a708495866a9e795e8dbeba656e7d8ad706c43228649f41f7396a67ec,b280dbc72896df45d9dfb7b732c9e8346fb80e40c1d53aed9f1d5bd3f14dd1b3,189,0.03266790430557342,0.6987848448828851,1.0,False,0.98039,1.0,0.97432,0.9734789391575663,1.0,225,1050,0,1,2
L_f1_W5,primary_full_coverage,freetype__char2svg,BD4,S0,51,6,6,e2a7974a2fdfcdd920904f860b52148edaaa6529b8236988d19e490f887ea158,77fa88606dd22ca52f2063a2ff13fc15e39cc7e095d018b598b015a28f352eaa,3,0.18161454620300063,0.834757250186428,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W5,primary_full_coverage,freetype__char2svg,BD4,Smax,51,6,6,e2a7974a2fdfcdd920904f860b52148edaaa6529b8236988d19e490f887ea158,77fa88606dd22ca52f2063a2ff13fc15e39cc7e095d018b598b015a28f352eaa,185,0.03251174274709012,0.834757250186428,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W5,primary_full_coverage,freetype__char2svg,BLD4,S0,51,6,6,20f1dbb522ac5fedd1e3b3f6d653bc8fb24aa052be882c3991ca3b3360332326,8777070a1c328031b59f26654aafb2dee37bb7cb494665ef13c0c3d6aee602d9,3,0.210626867838808,0.7866609565157028,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W5,primary_full_coverage,freetype__char2svg,BLD4,Smax,51,6,6,20f1dbb522ac5fedd1e3b3f6d653bc8fb24aa052be882c3991ca3b3360332326,8777070a1c328031b59f26654aafb2dee37bb7cb494665ef13c0c3d6aee602d9,181,0.022317023496641778,0.7866609565157028,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,B,S0,40,4,4,ae9c43363c0ce3d15f18a1a7a4f0b2fe4ccf86b44058e9e6d7f4898e7963f325,3c303e8588976c1374218400bece6f78ca37f2f8dc04111ea5caa9ae59554a23,35,0.23790493335474527,0.6531442294116495,1.0,False,1.0,1.0,1.0,1.0,1.0,180,600,0,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,B,Smax,40,4,5,ae9c43363c0ce3d15f18a1a7a4f0b2fe4ccf86b44058e9e6d7f4898e7963f325,adc8c63a897abd413087fe3344c85889066b2224e4bbef68a4c8f1d915ba85cf,183,0.05136601579533602,0.7991556190859307,1.0,False,1.0,0.925,0.95588,0.9209383145091226,1.0,180,600,1,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,BL,S0,40,4,4,39e3965778d71e1dba125710020a3c337b1a7011e6b20ebea3eaa0aedaff6f7d,204d637b2475cd45824038c82f275f453c811b9567b14ea0fdf0cdd935df91a8,11,0.3769101855595241,0.7628729139407968,1.0,False,1.0,1.0,1.0,1.0,1.0,180,600,0,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,BL,Smax,40,4,5,39e3965778d71e1dba125710020a3c337b1a7011e6b20ebea3eaa0aedaff6f7d,f34c496c94e69a90ba5e15386491ca5485b4cbf84dc8d400ea7f245849654471,193,0.02723805275956037,0.7885371881490935,1.0,False,1.0,0.9,0.9375,0.9090909090909091,1.0,180,600,1,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,BD4,S0,40,4,5,261f209d09e5ee8c4a35f09340b9b91d8e2ccca1c87c8b685b9ac262ef5b0f42,f681ff39812449fa2b3c2e9b19fa370e4cac6de89701b3bcece0147a78a97db9,3,0.18525274790307583,0.8597380694234198,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9300858902082415,180,600,1,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,BD4,Smax,40,4,5,261f209d09e5ee8c4a35f09340b9b91d8e2ccca1c87c8b685b9ac262ef5b0f42,f681ff39812449fa2b3c2e9b19fa370e4cac6de89701b3bcece0147a78a97db9,195,0.027113392695409064,0.8597380694234198,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9300858902082415,180,600,1,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,BLD4,S0,40,4,4,42a4d095308eb7529d6470732057c7f9d2fab721144d2cd38c8b3ce0eb061b0d,b4a683419e4cc088a93ac245027367d45d173db430c1e7b88b3fb5f58f0b132f,11,0.313420561384653,0.7492757732686504,1.0,False,1.0,1.0,1.0,1.0,1.0,180,600,0,0,0
L_f1_W5,primary_full_coverage,poppler__pdfimages,BLD4,Smax,40,4,5,42a4d095308eb7529d6470732057c7f9d2fab721144d2cd38c8b3ce0eb061b0d,53d367599237dff0f5f3569592e04ff3164e9d486c465f46ac6e73b32a31f90e,199,0.018727676638569113,0.8389423748806983,1.0,False,1.0,0.9,0.9375,0.9090909090909091,1.0,180,600,1,0,0
L_f1_W5,primary_full_coverage,soxmp3__sox,B,S0,61,7,7,620599d63526f00cc6a30b183740d3d751701bb0f01816490592dfbafe6aa725,cb2132ea9abb4b5413888e10af457fa4d27f31c07f2743ea80ade39965bfd51a,75,0.2000752821866999,0.7405588406916171,1.0,False,0.93443,0.88525,0.898,0.8411400066023549,0.9162334931413182,270,1560,2,3,3
L_f1_W5,primary_full_coverage,soxmp3__sox,B,Smax,61,7,9,620599d63526f00cc6a30b183740d3d751701bb0f01816490592dfbafe6aa725,fb2159528677920fde41e442a4f968117d16f21373bf6c29d549a0bf8dc6d392,155,0.060755610605931105,0.8209978909808091,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9162334931413182,270,1560,2,3,3
L_f1_W5,primary_full_coverage,soxmp3__sox,BL,S0,61,7,7,443202bc10d7af261d3fecbd7936f412b1621ba614b63920f1a4e650e744e331,7a1f57e70a6df54fc2480d344e02ce32427d15f04bef3e38c533a8219f2b98c7,23,0.33827761433070663,0.7341960931478407,1.0,False,0.93443,0.91803,0.90951,0.8440908600021599,0.908207632306291,270,1560,2,3,3
L_f1_W5,primary_full_coverage,soxmp3__sox,BL,Smax,61,7,9,443202bc10d7af261d3fecbd7936f412b1621ba614b63920f1a4e650e744e331,7b73e8a7aa5fc1720da3cda55b1d52233ac54e842fdc603d2ff7051d051d7d41,189,0.033162440059161566,0.8489810125881222,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.908207632306291,270,1560,2,3,3
L_f1_W5,primary_full_coverage,soxmp3__sox,BD4,S0,61,7,7,1f0b371f99c149b47c8b51955a66137c8d49a59bb0ef28616202416307f44132,2bfc104a9e519a0d05704fc1711e12e68d794a32bb064550fe8f5136cdd34809,3,0.19681919528297653,0.7414504768546056,1.0,False,0.90164,0.91803,0.85747,0.8107204964708289,0.9292743552730823,270,1560,1,2,3
L_f1_W5,primary_full_coverage,soxmp3__sox,BD4,Smax,61,7,9,1f0b371f99c149b47c8b51955a66137c8d49a59bb0ef28616202416307f44132,ac4b6e2a4c8fc91ef065849d2897f5a8b4bd46d4f6d4bf655d267054b8ba51e9,187,0.032591252892062425,0.8673685768703653,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9292743552730823,270,1560,2,3,3
L_f1_W5,primary_full_coverage,soxmp3__sox,BLD4,S0,61,7,7,9edd440b220eaa114c561ef74bdb72ec126cc8f1e363e1e5397eb45b1b22be28,67d80185bb45d3f878397842d8f15f77835e11c65e2baa8e4c81cdc34d3b2221,23,0.28263742313751566,0.7644658190040675,1.0,False,0.93443,0.91803,0.90951,0.8440908600021599,0.9360670831401454,270,1560,2,3,3
L_f1_W5,primary_full_coverage,soxmp3__sox,BLD4,Smax,61,7,9,9edd440b220eaa114c561ef74bdb72ec126cc8f1e363e1e5397eb45b1b22be28,8335a0971ffc21d3de745d081f9596098b53c9e4aba8a3a0c8ba646796d7d135,181,0.022781088354177585,0.871763012637041,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9360670831401454,270,1560,2,3,3
L_f3_W0,primary_full_coverage,freetype__char2svg,B,S0,51,6,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,c95e48269e3ff53983538aaea302b9cc1fc2d9e027bd1b8fbdebdd97c54780aa,1,0.3543185777584654,0.5,1.0,True,0.19608,1.0,0.32219,0.0,0.9597579457352423,225,1050,0,1,6
L_f3_W0,primary_full_coverage,freetype__char2svg,B,Smax,51,6,6,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,185,0.06176236481932756,0.578090354741812,1.0,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
